goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                         	 8441896	       135.9 ns/op	      53 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12              	 6709532	       176.5 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12                      	22283134	        52.34 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                           	13974198	        86.24 ns/op	      48 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                     	346005608	         3.154 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[twindagger/jsonptr]-12            	 5424776	       240.7 ns/op	     168 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12        	 9702942	       127.7 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12  	 3565219	       316.7 ns/op	     296 B/op	      13 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12             	11666348	       100.3 ns/op	     112 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12         	 9704733	       124.4 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12          	 7729251	       144.6 ns/op	     121 B/op	       3 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12            	 6772064	       173.7 ns/op	      96 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12 	 5063842	       227.9 ns/op	     136 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12         	12486255	        96.47 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[oas3/jsonpointer]-12              	 7847430	       142.4 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[encoding/json/jsontext]-12        	33734037	        33.83 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12             	 3393776	       364.2 ns/op	     200 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12         	 8498754	       137.5 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12   	 2609576	       428.0 ns/op	     317 B/op	      15 allocs/op
