goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkGet/[chanced/jsonpointer]-12         	 2049784	       600.6 ns/op	     165 B/op	      13 allocs/op
BenchmarkBackToString/"/definitions/Location"/[twindagger/jsonptr]-12             	 6767710	       159.1 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[chanced/jsonpointer]-12            	284639266	         4.364 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12              	17654148	        68.34 ns/op	      56 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12             	11187622	        96.37 ns/op	      40 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12         	17776897	        68.29 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[crhntr/jsonschema/jsonptr]-12      	274449661	         4.333 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[oas3/jsonpointer]-12               	10720183	       112.5 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12           	283853738	         4.412 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12  	 7829283	       151.7 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12              	 5657966	       202.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12             	274437124	         4.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12               	15760154	        78.58 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12              	 7982710	       145.5 ns/op	      45 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12          	15806046	        65.49 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[crhntr/jsonschema/jsonptr]-12       	272694961	         4.555 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12                	10540909	       115.4 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12            	288048646	         4.298 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12   	 6235639	       198.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12          	274447484	         4.321 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12           	17895555	        65.25 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12           	288822442	         4.181 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12    	 5499411	       216.2 ns/op	     144 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12        	 6004309	       193.9 ns/op	     128 B/op	       6 allocs/op
