goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12         	18164647	        68.76 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12                	 9733244	       111.7 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12               	14617785	        83.82 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12           	287701254	         4.090 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12            	295215176	         3.991 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12           	17115254	        67.30 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12              	 5904780	       198.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12              	 7720656	       148.0 ns/op	      45 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[kaptinlin/jsonpointer]-12           	 8629326	       120.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12          	297657252	         3.947 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12    	 5651284	       222.0 ns/op	     144 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12          	18794626	        67.38 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12   	 5782478	       195.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12             	290562781	         4.018 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[crhntr/jsonschema/jsonptr]-12       	305234270	         3.951 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                  	 6901593	       167.5 ns/op	      53 B/op	       4 allocs/op
