goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkParseAndBackToString/"/definitions/Location"/[kaptinlin/jsonpointer]-12                	 6262669	       187.8 ns/op	     112 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12                    	 8794500	       128.0 ns/op	     112 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12                 	 6684354	       185.1 ns/op	     121 B/op	       3 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[encoding/json/jsontext]-12               	31041822	        38.47 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12                   	 5169820	       221.4 ns/op	      96 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[chanced/jsonpointer]-12                  	44691237	        28.65 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[oas3/jsonpointer]-12                     	 6342567	       175.9 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12                	 7903880	       162.4 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12                	 9826203	       121.3 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[crhntr/jsonschema/jsonptr]-12            	34501758	        35.48 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12               	 7120251	       165.9 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12                  	 3628760	       306.2 ns/op	     137 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12                	30783913	        40.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12                    	 3665763	       332.1 ns/op	     117 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12                   	37521868	        31.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12                      	 6433369	       174.1 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12                 	 7776412	       154.8 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12                 	 9299796	       118.5 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[crhntr/jsonschema/jsonptr]-12             	30784633	        33.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12                	 7884243	       165.5 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12          	 2392533	       509.1 ns/op	     317 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12                    	 2971939	       414.1 ns/op	     200 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12         	 2917778	       403.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[kaptinlin/jsonpointer]-12                 	 4429210	       272.6 ns/op	     152 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12                     	 6312685	       189.2 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                        	 3311632	       358.5 ns/op	     136 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                       	42152776	        29.34 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                          	 6836517	       163.5 ns/op	     104 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12                     	 8378496	       139.6 ns/op	     176 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12                     	 9783697	       115.7 ns/op	      88 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12                 	37396245	        30.48 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12                    	 7081208	       163.8 ns/op	     136 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12              	 2405478	       494.1 ns/op	     296 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                        	 2526366	       446.7 ns/op	     208 B/op	      10 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12             	 2566071	       448.1 ns/op	     176 B/op	       9 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[kaptinlin/jsonpointer]-12                     	 4696507	       252.4 ns/op	     136 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                         	 7351192	       158.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                      	 3640531	       333.3 ns/op	     137 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                    	27191100	        36.80 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	github.com/dolmen-go/jsonptr-benchmark	205.892s
