goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12         	 8291221	       133.9 ns/op	     112 B/op	       4 allocs/op
BenchmarkBackToString/"/definitions/Location"/[chanced/jsonpointer]-12                  	321503131	         3.413 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12                 	354114648	         3.480 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[twindagger/jsonptr]-12                   	 8249816	       142.5 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12        	 7862916	       138.6 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[crhntr/jsonschema/jsonptr]-12            	325024125	         3.616 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[encoding/json/jsontext]-12               	338996245	         3.397 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12                    	 8914964	       136.2 ns/op	      45 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12                 	18226824	        63.75 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12                      	10453561	       105.3 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12          	 6122002	       204.7 ns/op	     144 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12                   	315616987	         3.547 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12                  	324648709	         3.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12                    	 6166791	       191.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12         	 6118250	       191.3 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[crhntr/jsonschema/jsonptr]-12             	311647263	         3.646 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12                	343454229	         3.687 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12                	20215629	        62.08 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12                     	16277668	        72.79 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12                 	308952775	         3.674 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                      	334456003	         3.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                        	 5679830	       207.4 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12             	 5678802	       208.0 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12                 	329161699	         3.438 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                    	314871429	         3.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12                    	19287561	        59.74 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                         	26873671	        48.64 ns/op	      16 B/op	       1 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12                     	335250267	         3.579 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                        	 7568661	       157.2 ns/op	      53 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12                     	17040470	        60.03 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                          	11272958	       101.9 ns/op	      48 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12              	 6110804	       191.1 ns/op	     128 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                       	326438504	         3.705 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12       	 8198524	       151.8 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12            	10221618	       113.5 ns/op	     112 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12        	 7965402	       153.0 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12           	 5744202	       202.0 ns/op	      96 B/op	       4 allocs/op
