goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12              	24836157	        50.31 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12               	332457502	         3.338 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                 	 6780405	       178.4 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12              	326542210	         3.638 ns/op	       0 B/op	       0 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12 	13170187	        92.77 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12  	 7877635	       146.8 ns/op	     121 B/op	       3 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[twindagger/jsonptr]-12    	 4920999	       238.6 ns/op	     168 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12 	 9687944	       127.6 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12         	 5120210	       233.8 ns/op	     136 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[oas3/jsonpointer]-12                      	 7974594	       137.5 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12          	 3981471	       304.7 ns/op	     296 B/op	      13 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[encoding/json/jsontext]-12                	34398208	        32.10 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[chanced/jsonpointer]-12                   	53526086	        24.10 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12                    	 6565801	       177.1 ns/op	      96 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12                	 9399078	       130.7 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12                     	11810512	        97.51 ns/op	     112 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12                      	 7833260	       151.0 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12                  	11496216	        93.59 ns/op	     104 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12                   	 4607745	       263.9 ns/op	     137 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12                     	 3429242	       341.5 ns/op	     200 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12                  	 9258799	       123.9 ns/op	     184 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12          	 3348260	       322.4 ns/op	     168 B/op	       7 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12                       	 9107281	       136.9 ns/op	     120 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12           	 2913622	       400.4 ns/op	     317 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12                 	36396508	        32.64 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12                    	43485447	        25.72 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12                     	 4295803	       268.7 ns/op	     117 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12                 	 8373583	       129.2 ns/op	     152 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                          	 8855691	       127.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12                      	12904704	        90.09 ns/op	      88 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                       	 4386346	       268.2 ns/op	     137 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                         	 3154551	       372.6 ns/op	     208 B/op	      10 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12                      	11674275	       111.8 ns/op	     176 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12              	 3192066	       355.2 ns/op	     176 B/op	       9 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                           	 8435185	       133.4 ns/op	     104 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12               	 3236031	       361.7 ns/op	     296 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                     	40366930	        31.18 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                        	44152888	        25.88 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                         	 3731154	       319.3 ns/op	     136 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12                     	 9312368	       133.0 ns/op	     136 B/op	       5 allocs/op
PASS
ok  	github.com/dolmen-go/jsonptr-benchmark	166.050s
